,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
158,female,group B,associate's degree,standard,completed,61,86,87
708,male,group D,high school,standard,none,89,87,79
180,male,group C,master's degree,free/reduced,completed,62,68,75
521,female,group C,associate's degree,standard,none,91,86,84
771,male,group D,bachelor's degree,standard,none,75,73,74
32,female,group E,master's degree,free/reduced,none,56,72,65
150,male,group A,some high school,standard,completed,62,67,69
263,female,group E,high school,standard,none,99,93,90
777,female,group C,some college,free/reduced,none,35,44,43
103,male,group B,high school,standard,completed,60,44,47
347,female,group C,bachelor's degree,standard,completed,77,94,95
551,male,group B,bachelor's degree,free/reduced,completed,87,90,88
540,male,group C,high school,standard,completed,75,69,68
350,female,group B,bachelor's degree,standard,none,52,65,69
727,male,group E,some high school,standard,completed,68,51,57
516,female,group D,some college,standard,none,74,89,84
681,male,group B,high school,standard,none,60,68,60
961,female,group D,some high school,free/reduced,none,48,54,53
213,male,group C,associate's degree,free/reduced,completed,60,51,56
465,female,group C,some college,standard,none,84,87,91
206,male,group E,bachelor's degree,standard,none,82,62,62
665,female,group C,some high school,free/reduced,completed,50,60,60
993,female,group D,bachelor's degree,free/reduced,none,62,72,74
542,female,group C,associate's degree,standard,none,81,77,79
255,female,group E,some college,standard,none,62,73,70
412,male,group D,associate's degree,standard,none,71,66,60
328,male,group C,associate's degree,standard,completed,82,75,77
725,male,group E,some college,standard,completed,81,74,71
648,female,group B,high school,standard,none,50,53,55
583,female,group D,associate's degree,standard,completed,73,75,80
346,male,group B,some college,standard,none,62,61,57
882,female,group B,high school,free/reduced,none,64,73,71
427,male,group C,some high school,free/reduced,none,69,71,65
844,female,group D,some high school,free/reduced,completed,40,65,64
680,female,group D,high school,standard,none,67,72,74
991,female,group B,some high school,standard,completed,65,82,78
741,female,group A,associate's degree,free/reduced,none,37,57,56
736,male,group C,associate's degree,standard,none,92,79,84
683,female,group C,some high school,free/reduced,completed,29,40,44
607,female,group C,master's degree,free/reduced,none,40,58,54
779,male,group E,associate's degree,standard,completed,94,85,82
421,female,group D,high school,standard,completed,57,58,64
470,female,group C,associate's degree,standard,completed,83,85,90
627,male,group D,associate's degree,standard,none,61,48,46
459,male,group B,high school,standard,completed,72,65,68
884,female,group E,associate's degree,standard,none,51,51,54
373,female,group D,some college,standard,completed,82,97,96
48,female,group D,associate's degree,free/reduced,completed,57,74,76
972,female,group A,high school,free/reduced,completed,53,50,60
506,male,group A,high school,standard,none,68,70,66
589,female,group A,some high school,standard,none,48,66,65
758,female,group D,some college,free/reduced,completed,52,59,65
891,female,group E,associate's degree,standard,none,85,92,85
82,male,group A,some college,free/reduced,completed,50,47,54
355,female,group B,bachelor's degree,standard,none,61,72,70
95,male,group C,associate's degree,free/reduced,completed,78,81,82
446,male,group D,some college,free/reduced,none,69,66,60
67,female,group C,some college,standard,none,60,72,74
834,male,group B,some college,standard,none,58,50,45
608,female,group E,some college,standard,none,61,64,62
534,male,group B,high school,standard,completed,73,69,68
766,female,group C,high school,standard,completed,58,75,77
422,female,group D,master's degree,free/reduced,completed,47,58,67
380,female,group B,associate's degree,standard,none,80,86,83
756,male,group D,some college,standard,none,55,58,52
201,female,group D,some college,free/reduced,none,65,81,77
357,female,group C,some college,free/reduced,completed,42,66,69
671,male,group D,associate's degree,free/reduced,none,52,57,50
128,male,group D,master's degree,standard,none,82,82,74
144,male,group D,some college,standard,none,88,73,78
401,male,group A,some college,standard,none,53,43,43
209,female,group B,some college,free/reduced,none,58,61,66
286,male,group E,associate's degree,standard,completed,97,82,88
498,female,group B,some high school,standard,none,66,69,68
268,female,group D,associate's degree,standard,completed,88,92,95
90,female,group C,bachelor's degree,standard,none,65,72,74
41,female,group C,associate's degree,standard,none,58,73,68
931,male,group D,some college,free/reduced,none,62,57,62
745,male,group D,associate's degree,standard,none,72,79,74
337,male,group C,associate's degree,standard,none,49,51,43
416,male,group C,bachelor's degree,standard,completed,71,74,68
918,female,group C,associate's degree,standard,completed,57,77,80
234,male,group C,bachelor's degree,standard,completed,83,82,84
366,male,group C,high school,standard,completed,69,58,53
53,male,group D,high school,standard,none,88,78,75
690,female,group C,associate's degree,standard,none,49,53,53
785,female,group B,some high school,standard,completed,32,51,44
243,male,group E,some college,standard,none,59,51,43
79,female,group E,master's degree,standard,none,62,68,68
51,male,group E,associate's degree,free/reduced,completed,77,69,68
526,male,group C,some high school,free/reduced,completed,56,61,60
895,female,group E,some high school,free/reduced,none,32,34,38
338,female,group B,some high school,free/reduced,none,24,38,27
340,male,group C,high school,free/reduced,none,58,61,52
784,male,group C,bachelor's degree,standard,completed,91,81,79
797,female,group E,associate's degree,free/reduced,none,70,84,81
515,female,group C,some high school,standard,completed,76,87,85
535,female,group C,bachelor's degree,free/reduced,completed,66,83,83
640,male,group D,high school,standard,none,41,52,51
677,female,group C,some high school,standard,completed,70,82,76
713,male,group D,master's degree,standard,none,81,81,84
557,male,group C,master's degree,free/reduced,none,61,67,66
910,male,group D,bachelor's degree,free/reduced,none,50,42,48
865,male,group D,some college,standard,completed,82,82,88
747,male,group C,some college,standard,none,69,64,68
313,female,group C,associate's degree,free/reduced,completed,68,67,69
749,male,group B,some college,standard,completed,87,84,86
554,male,group E,associate's degree,standard,none,53,45,40
232,female,group B,bachelor's degree,standard,none,67,86,83
909,male,group E,bachelor's degree,standard,completed,70,64,70
591,male,group A,some high school,standard,none,71,62,50
185,male,group C,associate's degree,free/reduced,completed,65,67,65
981,male,group D,some high school,standard,none,81,78,78
62,male,group A,associate's degree,free/reduced,none,62,61,55
480,male,group B,high school,standard,completed,73,71,68
732,female,group C,some college,standard,completed,87,89,94
780,female,group D,associate's degree,free/reduced,none,46,56,57
624,female,group E,bachelor's degree,free/reduced,none,61,58,62
523,male,group C,master's degree,free/reduced,none,54,59,50
662,female,group D,some college,free/reduced,none,55,71,69
746,male,group D,high school,standard,none,69,75,71
597,male,group A,some high school,standard,none,53,54,48
246,male,group E,associate's degree,standard,none,89,76,74
134,male,group D,bachelor's degree,free/reduced,completed,74,79,75
655,female,group B,some college,standard,none,62,67,67
911,female,group A,some college,standard,none,69,84,82
461,male,group B,some college,free/reduced,none,54,54,45
783,female,group C,associate's degree,standard,completed,52,59,62
360,female,group B,high school,standard,none,58,62,59
290,male,group C,associate's degree,standard,none,76,70,68
182,female,group E,high school,standard,none,50,50,47
364,male,group C,some college,standard,none,59,60,58
818,female,group B,high school,free/reduced,none,60,72,68
856,male,group B,some college,free/reduced,none,75,68,65
928,male,group E,associate's degree,free/reduced,completed,46,43,44
929,female,group C,some high school,free/reduced,none,48,56,51
4,male,group C,some college,standard,none,76,78,75
645,female,group B,bachelor's degree,standard,completed,65,81,81
44,female,group E,associate's degree,free/reduced,none,50,56,54
472,female,group C,associate's degree,standard,completed,68,86,84
864,male,group C,associate's degree,standard,none,97,93,91
762,male,group D,some high school,standard,completed,78,81,86
468,female,group A,high school,free/reduced,completed,77,88,85
801,male,group C,some high school,standard,completed,76,80,73
796,male,group D,high school,standard,none,70,70,70
715,female,group B,associate's degree,free/reduced,completed,76,94,87
135,male,group C,bachelor's degree,standard,none,58,55,48
430,male,group C,associate's degree,free/reduced,none,64,66,59
657,male,group D,some high school,standard,none,69,66,61
938,male,group D,some college,standard,completed,85,81,85
973,female,group D,some college,free/reduced,none,49,65,61
71,male,group D,some college,standard,completed,63,55,63
630,male,group D,some college,standard,none,67,64,70
464,male,group A,bachelor's degree,standard,completed,75,58,62
945,female,group C,associate's degree,standard,none,54,61,58
15,female,group C,some high school,standard,none,69,75,78
393,male,group C,associate's degree,standard,completed,57,54,56
216,female,group E,associate's degree,free/reduced,completed,83,86,88
74,male,group C,some high school,standard,none,49,49,41
668,male,group C,some college,standard,none,73,74,61
975,female,group C,some college,standard,completed,64,82,77
760,female,group C,high school,free/reduced,none,53,72,64
606,female,group C,associate's degree,standard,none,85,84,82
919,male,group B,some college,standard,completed,91,96,91
406,male,group B,associate's degree,standard,completed,65,65,63
963,female,group C,some high school,free/reduced,completed,65,76,75
93,male,group C,associate's degree,free/reduced,completed,43,45,50
530,female,group C,associate's degree,standard,completed,68,67,73
283,female,group D,some college,free/reduced,completed,70,78,78
804,female,group C,some college,standard,none,73,76,78
825,male,group C,high school,standard,none,62,67,58
543,female,group D,associate's degree,standard,none,82,95,89
321,female,group E,high school,standard,none,75,86,79
652,female,group D,some college,standard,completed,85,86,98
89,female,group D,some high school,standard,none,73,86,82
670,female,group C,high school,free/reduced,none,66,76,68
798,male,group E,some college,standard,none,69,60,54
342,female,group B,high school,standard,completed,69,76,74
860,female,group C,associate's degree,standard,none,53,62,53
653,female,group A,associate's degree,standard,completed,65,70,74
382,male,group C,master's degree,free/reduced,none,79,81,71
409,male,group D,associate's degree,standard,completed,87,84,85
755,female,group E,associate's degree,standard,none,84,95,92
13,male,group A,some college,standard,completed,78,72,70
453,male,group C,some college,free/reduced,none,65,58,49
77,male,group A,bachelor's degree,standard,completed,80,78,81
974,female,group A,some college,standard,none,54,63,67
691,female,group E,associate's degree,free/reduced,none,73,76,78
689,male,group E,some college,free/reduced,none,93,90,83
868,male,group E,associate's degree,free/reduced,completed,78,74,72
200,female,group C,associate's degree,standard,completed,67,84,86
545,male,group E,some high school,free/reduced,completed,78,83,80
574,female,group E,high school,standard,none,74,81,71
122,female,group C,some college,standard,completed,88,93,93
363,female,group D,some high school,free/reduced,none,27,34,32
344,male,group D,some college,standard,none,79,73,67
54,female,group C,some high school,free/reduced,completed,71,84,87
395,male,group A,high school,free/reduced,none,48,45,41
239,male,group C,associate's degree,standard,none,84,80,80
356,male,group A,associate's degree,standard,none,63,61,61
528,female,group D,bachelor's degree,free/reduced,none,29,41,47
371,female,group C,some college,free/reduced,completed,45,73,70
420,female,group C,associate's degree,free/reduced,completed,82,93,93
502,male,group C,some college,free/reduced,none,63,61,54
40,male,group C,associate's degree,free/reduced,none,55,61,54
490,female,group A,associate's degree,free/reduced,none,65,85,76
256,female,group C,associate's degree,free/reduced,none,64,73,68
73,male,group C,some high school,free/reduced,none,61,57,56
8,male,group D,high school,free/reduced,completed,64,64,67
881,female,group E,bachelor's degree,standard,completed,71,70,70
925,male,group E,some high school,standard,completed,74,64,60
496,female,group C,some college,standard,none,54,48,52
733,male,group D,some high school,standard,none,55,47,44
985,male,group A,high school,standard,none,57,51,54
156,female,group E,high school,free/reduced,completed,66,74,78
123,male,group D,high school,free/reduced,none,63,57,56
369,female,group D,some high school,standard,none,73,84,85
320,female,group C,high school,free/reduced,completed,67,79,84
527,female,group C,high school,free/reduced,none,36,53,43
996,male,group C,high school,free/reduced,none,62,55,55
125,female,group B,high school,standard,none,87,95,86
265,male,group D,some high school,free/reduced,none,59,42,41
